Question,Answer,Comment,Instruction,Render As
"かわいがっている犬。ふつうは飼い犬を指す。"	"愛犬,あいけん"	"かわいがっている犬。ふつうは飼い犬を指す。"	Guess the Word or Reading	Text
"||広||＊とは、「世間に広く知らせること」であり、とりわけ商品やサービスなどに関する情報を世間の多くの人に知らせ・興味を抱かせ・購入その他の行動を促す、そのために行われる情報伝達もしくは情報伝達の媒体や伝達内容のことである。【||広||＊の語源・由来】「||広||＊」という言葉は advertisement の訳語であり、西欧語の訳語として考案された和製漢語である。字義は「広く告げる」の意と解釈し得る。中国などでも「||広||＊」の語が日本から伝わり、advertisementの訳語として（日本語と同じ意味で）用いられている。ただし漢字の表記は日本語の「||広||＊」とは異なり、繁体字では「廣告」、簡体字では「广告」である。【||広||＊の用法】多くの場合「||広||＊」は名詞として扱われる。動詞として「||広||＊する」という表現がないわけではないが、advertising の意.."	"広告,こうこく"	"広告とは、「世間に広く知らせること」であり、とりわけ商品やサービスなどに関する情報を世間の多くの人に知らせ・興味を抱かせ・購入その他の行動を促す、そのために行われる情報伝達もしくは情報伝達の媒体や伝達内容のことである。【広告の語源・由来】「広告」という言葉は advertisement の訳語であり、西欧語の訳語として考案された和製漢語である。字義は「広く告げる」の意と解釈し得る。中国などでも「広告」の語が日本から伝わり、advertisementの訳語として（日本語と同じ意味で）用いられている。ただし漢字の表記は日本語の「広告」とは異なり、繁体字では「廣告」、簡体字では「广告」である。【広告の用法】多くの場合「広告」は名詞として扱われる。動詞として「広告する」という表現がないわけではないが、advertising の意味で用いる場合もっぱら「広告を出す」あるいは「広告を打つ」といった言い回しが用いられる。【広告の種類】広告は、広告媒体や広告の発信方法などによって細分化され、その呼び名も単に「広告」と呼ぶよりは「マス広告」「SP広告」「ネット広告」のように呼分けられることが多い。【広告"	Guess the Word or Reading	Text
"書類や本などを、順番に回して届けること。意味が似ている言葉として「回覧」が挙げられ、回覧は書類を回すだけでなく、目を通す行為までを含む。同じく||回||＊と似た言葉の「送付」は書類やメールを送ることを、「転送」は送られてきたものをそのまま他の人に送ることを意味する。"	"回付,かいふ"	"書類や本などを、順番に回して届けること。意味が似ている言葉として「回覧」が挙げられ、回覧は書類を回すだけでなく、目を通す行為までを含む。同じく回付と似た言葉の「送付」は書類やメールを送ることを、「転送」は送られてきたものをそのまま他の人に送ることを意味する。"	Guess the Word or Reading	Text
"||辞||＊（||じ||＊＊）とは、ある分野の語彙を多数（おおむね網羅的に）集め、その表記・読み方・意味・用法、場合によっては語源や補足解説なども併記した、書物、あるいはデータベースのこと。動詞「引く」と共起して「||辞||＊を引く」「||辞||＊で引く」といった言い方で叙述されることが多い。「||辞||＊を手繰る」「||辞||＊を使う」「||辞||＊で調べる」といった言い方もできる。||辞||＊は「辞典」ともいう。「||辞||＊」と「辞典」に際立った違いはない。ほぼ同義語である（「典」の字に「書物」を意味する字義がある）。ただし「||辞||＊」と「辞典」どちらの語を用いるかは、||辞||＊辞典の種類によって傾向が分かれる。「国語||辞||＊」は「国語辞典」ともいう。「英和||辞||＊」も「英和辞典」という。「類語||辞||＊」や「英英||辞||＊」の場合は、「||辞||＊」の語を用.."	"辞書,じしょ"	"辞書（じしょ）とは、ある分野の語彙を多数（おおむね網羅的に）集め、その表記・読み方・意味・用法、場合によっては語源や補足解説なども併記した、書物、あるいはデータベースのこと。動詞「引く」と共起して「辞書を引く」「辞書で引く」といった言い方で叙述されることが多い。「辞書を手繰る」「辞書を使う」「辞書で調べる」といった言い方もできる。辞書は「辞典」ともいう。「辞書」と「辞典」に際立った違いはない。ほぼ同義語である（「典」の字に「書物」を意味する字義がある）。ただし「辞書」と「辞典」どちらの語を用いるかは、辞書辞典の種類によって傾向が分かれる。「国語辞書」は「国語辞典」ともいう。「英和辞書」も「英和辞典」という。「類語辞書」や「英英辞書」の場合は、「辞書」の語を用いる例は少なく、むしろ「類語辞典」「英英辞典」という方が一般的である。「古語辞典」「季語辞典」「ことわざ辞典」「難読漢字辞典」「あいさつ表現辞典」のような例に至ってはほぼ「辞典」に例が偏っている。なお、日本語には「辞典」の他に「事典」や「字典」といった語彙もあるが、これら辞典・事典・字典はそれぞれ意味が微妙に異なる。そのため「事典」"	Guess the Word or Reading	Text
"||周||＊とは、広く知らせること、または、すでに広く知れ渡っていることを意味する言葉である。英語では、publicity、well-known などど表現する。||周||＊の「周」の字には「行き渡る」「行き届く」という意味合いがある。「用意周到」の「周」も||周||＊と同じ字義と解釈される。||周||＊の語は名詞もしくは動詞として用いられる。動詞の用法ではもっぱら「知らせる」「知らしめる」という行いを指し、名詞の用法はどちらかといえば「知れ渡っている」という状況を指す場合が多い。多くの場合、「||周||＊の事実」「||周||＊させる」「||周||＊を図る」「||周||＊徹底」「||周||＊が不十分」のような言い回しで用いられる。||周||＊はやや文語的な表現である。"	"周知,しゅうち"	"周知とは、広く知らせること、または、すでに広く知れ渡っていることを意味する言葉である。英語では、publicity、well-known などど表現する。周知の「周」の字には「行き渡る」「行き届く」という意味合いがある。「用意周到」の「周」も周知と同じ字義と解釈される。周知の語は名詞もしくは動詞として用いられる。動詞の用法ではもっぱら「知らせる」「知らしめる」という行いを指し、名詞の用法はどちらかといえば「知れ渡っている」という状況を指す場合が多い。多くの場合、「周知の事実」「周知させる」「周知を図る」「周知徹底」「周知が不十分」のような言い回しで用いられる。周知はやや文語的な表現である。"	Guess the Word or Reading	Text
"（1）収入||印||＊の略。（2）インドの新聞社が発行している新聞の総称。「ザ・タイムズ・オブ・インディア」（The Times of India）や「インディアン・エクスプレス」（The Indian EXPRESS）、「ダイニク・ジャグラン」（Dainik Jagran）などが挙げられる。"	"印紙,いんし"	"（1）収入印紙の略。（2）インドの新聞社が発行している新聞の総称。「ザ・タイムズ・オブ・インディア」（The Times of India）や「インディアン・エクスプレス」（The Indian EXPRESS）、「ダイニク・ジャグラン」（Dainik Jagran）などが挙げられる。"	Guess the Word or Reading	Text
"（1）||覚||＊とは、忘れないようにするために紙などに書き留めておくことである。また、書き留めた文のことである。（2）||覚||＊とは、契約書の記載事項について齟齬のないように互いに確認しておく事項をまとめたものである。||覚||＊に互いが署名捺印すれば、法的に契約書と同等の文書として扱われる。（3）||覚||＊とは、宛名や署名のない、略式の外交文書のことである。"	"覚書,おぼえがき"	"（1）覚書とは、忘れないようにするために紙などに書き留めておくことである。また、書き留めた文のことである。（2）覚書とは、契約書の記載事項について齟齬のないように互いに確認しておく事項をまとめたものである。覚書に互いが署名捺印すれば、法的に契約書と同等の文書として扱われる。（3）覚書とは、宛名や署名のない、略式の外交文書のことである。"	Guess the Word or Reading	Text
"||昨||＊とは、おおまかに「少し前から現在まで」「現在と現在に近い過去を含む期間」を指し示す表現である。近い過去から現在に至るまで。最近。近頃。このところ。このごろ。近年。当節。ここんとこ。「||昨||＊」が具体的にいつからいつまでの期間を示すのか、という基準は特にない。その時間の幅は文脈に応じて大きく違ってくる。とはいえ、その話題の中で念頭に置かれている全期間の中では、「||昨||＊」が占める割合は、現在を含むほんの一部である、というニュアンスはある。||昨||＊の「昨」の字には、「昨年」や「昨晩」のように「ひとつ前の同時点」を指す字義と、「昔」「過去」を漠然と指す字義がある。つまり「||昨||＊」という字面は「昔と今」あるいは「過去から現在まで」を意味する表現といえる。ちなみに「昨」の字には訓読みがない。「||昨||＊」の類語・類義語は多い。たとえば「最近」「近頃」「近年」「今.."	"昨今,さっこん"	"昨今とは、おおまかに「少し前から現在まで」「現在と現在に近い過去を含む期間」を指し示す表現である。近い過去から現在に至るまで。最近。近頃。このところ。このごろ。近年。当節。ここんとこ。「昨今」が具体的にいつからいつまでの期間を示すのか、という基準は特にない。その時間の幅は文脈に応じて大きく違ってくる。とはいえ、その話題の中で念頭に置かれている全期間の中では、「昨今」が占める割合は、現在を含むほんの一部である、というニュアンスはある。昨今の「昨」の字には、「昨年」や「昨晩」のように「ひとつ前の同時点」を指す字義と、「昔」「過去」を漠然と指す字義がある。つまり「昨今」という字面は「昔と今」あるいは「過去から現在まで」を意味する表現といえる。ちなみに「昨」の字には訓読みがない。「昨今」の類語・類義語は多い。たとえば「最近」「近頃」「近年」「今日（こんにち）」などが挙げられる。意味上の違いはほぼないと言ってよく、なかなか明確な区別はつけがたい。「最近」は「現在に近い短期間」のニュアンスが色濃く、「昨今」はやや文語的ではある。"	Guess the Word or Reading	Text
"||不||＊とは、土地がやせているため作物などが育たないことと、実りある結果を得ることができないこと、の2つの意味のことである。||不||＊の語源は無い、という意味の不と、作物が育つことを意味する毛が合わさったものである。転じて、結果や成果が得られないことを指す言葉として使われるようになった。英語では barren、sterile、waste などと表記される。||不||＊の語は字のごとく、作物が実らず収穫できない過酷な土地という意味と、成果の無い、意味が無いという比喩的に使われる意味がある。例えば、土地そのものに関する使用法には「||不||＊な地帯」などがあり、結果が得られない意味での使用法としては、「この話し合いは||不||＊すぎる。無意味だ」という文章となる。"	"不毛,ふもう"	"不毛とは、土地がやせているため作物などが育たないことと、実りある結果を得ることができないこと、の2つの意味のことである。不毛の語源は無い、という意味の不と、作物が育つことを意味する毛が合わさったものである。転じて、結果や成果が得られないことを指す言葉として使われるようになった。英語では barren、sterile、waste などと表記される。不毛の語は字のごとく、作物が実らず収穫できない過酷な土地という意味と、成果の無い、意味が無いという比喩的に使われる意味がある。例えば、土地そのものに関する使用法には「不毛な地帯」などがあり、結果が得られない意味での使用法としては、「この話し合いは不毛すぎる。無意味だ」という文章となる。"	Guess the Word or Reading	Text
"出だしの最初の部分・期間を指す表現。時間的な事柄について言うことが多い。例えば「3月||初||＊の来事」などのように用いられる。"	"初頭,しょとう"	"出だしの最初の部分・期間を指す表現。時間的な事柄について言うことが多い。例えば「3月初頭の来事」などのように用いられる。"	Guess the Word or Reading	Text
"半分にして、分けること。半分こすること。出費や儲けなどについて言うことが多い、"	"折半,せっぱん"	"半分にして、分けること。半分こすること。出費や儲けなどについて言うことが多い、"	Guess the Word or Reading	Text
"言葉を付け加えること。付け足し。"	"付言,ふげん"	"言葉を付け加えること。付け足し。"	Guess the Word or Reading	Text
"あるものに付け加える形で記されたもの。または、それを記すこと。注意書きや備考などを指すことが多い。付言とも言う。"	"付記,ふき"	"あるものに付け加える形で記されたもの。または、それを記すこと。注意書きや備考などを指すことが多い。付言とも言う。"	Guess the Word or Reading	Text
"(1)ある物事を成し遂げたり、目的を実現したり、目標に到達したりするために取られる手段、方策、アプローチ。(2)物事を実践する体系的な行動のあり方。やり方。手法。(3)順序を追って論理的・組織的に思索を進めていくこと。デカルトの「||方||＊的懐疑」などに見られる用法。原語は「methode」で、英語の「method」に当たる。"	"方法,ほうほう"	"(1)ある物事を成し遂げたり、目的を実現したり、目標に到達したりするために取られる手段、方策、アプローチ。(2)物事を実践する体系的な行動のあり方。やり方。手法。(3)順序を追って論理的・組織的に思索を進めていくこと。デカルトの「方法的懐疑」などに見られる用法。原語は「methode」で、英語の「method」に当たる。"	Guess the Word or Reading	Text
"商品を買わないこと。買うのを避けること。||不||＊運動、||不||＊ムードなどのような語を作る。"	"不買,ふばい"	"商品を買わないこと。買うのを避けること。不買運動、不買ムードなどのような語を作る。"	Guess the Word or Reading	Text
"物事の一部分ではなく、それ全体を対象として捉えているさま。総体的。包括的。"	"全体的,ぜんたいてき"	"物事の一部分ではなく、それ全体を対象として捉えているさま。総体的。包括的。"	Guess the Word or Reading	Text
"方程式の中で値が確定していない変数、特定の値が与えられていない変数を指す語。転じて、将来の予測がつかない様子などを指して用いる場合も多い。"	"未知数,みちすう"	"方程式の中で値が確定していない変数、特定の値が与えられていない変数を指す語。転じて、将来の予測がつかない様子などを指して用いる場合も多い。"	Guess the Word or Reading	Text
"品質や程度が最も高いこと、最も高級であることなどを意味する表現。"	"最高級,さいこうきゅう"	"品質や程度が最も高いこと、最も高級であることなどを意味する表現。"	Guess the Word or Reading	Text
"生命の維持や成長などに必要な物質を指す語。養分や栄養素などとも呼ばれる。"	"栄養分,えいようぶん"	"生命の維持や成長などに必要な物質を指す語。養分や栄養素などとも呼ばれる。"	Guess the Word or Reading	Text
"事前に計画立てて物事を実施することを指す表現。||計||＊＊犯行、などのように用いる。"	"計画的,けいかくてき"	"事前に計画立てて物事を実施することを指す表現。計画的犯行、などのように用いる。"	Guess the Word or Reading	Text
"専門分野、最も得意とする分野、傑出した技量を発揮できる分野、などの意味の表現。「小型化は日本の||お||＊＊だ」などのように言うことが多い。"	"お家芸,おいえげい"	"専門分野、最も得意とする分野、傑出した技量を発揮できる分野、などの意味の表現。「小型化は日本のお家芸だ」などのように言うことが多い。"	Guess the Word or Reading	Text
"本を購入し、「いつか読もう」と思ってはいるものの、まだ読まずに放置してある（積んである）状態、あるいはその本を意味する語。「積んどく（積んでおく）」に掛けた表現である。"	"積ん読,つんどく"	"本を購入し、「いつか読もう」と思ってはいるものの、まだ読まずに放置してある（積んである）状態、あるいはその本を意味する語。「積んどく（積んでおく）」に掛けた表現である。"	Guess the Word or Reading	Text
"別れ行く人を送るために、惜別の意味をこめて催される会のこと。歓送会などとも表現する。"	"送別会,そうべつかい"	"別れ行く人を送るために、惜別の意味をこめて催される会のこと。歓送会などとも表現する。"	Guess the Word or Reading	Text
"心臓が（全身に血液を送り出すという）機能を全うできなくなっている状態のこと。いわゆるポンプの働きが低下した状態、心臓の機能障害。日本循環器学会と日本||心||＊＊学会は「||心||＊＊の定義」について「||心||＊＊とは、心臓が悪いために、息切れやむくみが起こり、だんだん悪くなり、生命を縮める病気です。」と定め、2017年にこれを発表している。||心||＊＊は「急性||心||＊＊」と「慢性||心||＊＊」に区分される。急性心筋梗塞などにより急激に生命が危機的状況に陥る症状は急性||心||＊＊に該当する。慢性||心||＊＊は普段の生活の中で徐々に心機能が低下していく症状であり、息切れや手足の冷えといった形で表面化しはじめる。関連サイト：『||心||＊＊の定義』記者発表について ― 一般社団法人日本循環器学会 ||心||＊＊とはなにか ― 公益財団法人日本心臓財団"	"心不全,しんふぜん"	"心臓が（全身に血液を送り出すという）機能を全うできなくなっている状態のこと。いわゆるポンプの働きが低下した状態、心臓の機能障害。日本循環器学会と日本心不全学会は「心不全の定義」について「心不全とは、心臓が悪いために、息切れやむくみが起こり、だんだん悪くなり、生命を縮める病気です。」と定め、2017年にこれを発表している。心不全は「急性心不全」と「慢性心不全」に区分される。急性心筋梗塞などにより急激に生命が危機的状況に陥る症状は急性心不全に該当する。慢性心不全は普段の生活の中で徐々に心機能が低下していく症状であり、息切れや手足の冷えといった形で表面化しはじめる。関連サイト：『心不全の定義』記者発表について ― 一般社団法人日本循環器学会 心不全とはなにか ― 公益財団法人日本心臓財団"	Guess the Word or Reading	Text
"ほんの少しばかりの時間、という意味の表現。たいてい「つかの間の休息」「喜びもつかの間」といった言い回しで用いられる。つか（束）は日本古来の身体尺において手のひらの幅（指4本分）を目安とする長さの単位である。"	"束の間,つかのま"	"ほんの少しばかりの時間、という意味の表現。たいてい「つかの間の休息」「喜びもつかの間」といった言い回しで用いられる。つか（束）は日本古来の身体尺において手のひらの幅（指4本分）を目安とする長さの単位である。"	Guess the Word or Reading	Text
"||植||＊＊とは、自国以外の地域へ移住して、新たな領土として隷属させた地域のことである。簡単に言うと、自国民を移住させるために支配下に置いた地域を意味している。||植||＊＊支配の目的は、香料や絹などの特産品や金や石油などの資源を獲得し、自国の経済を豊かにすることである。英語では colony と表現する。||植||＊＊支配は、船で外の世界に進出した大航海時代の頃から盛んになり、20世紀後半までアメリカ合衆国やイギリスなどによって盛んに行われてきた。日本は、台湾や満州などを||植||＊＊化した。21世紀に入ると||植||＊＊支配は次第に減少し、独立する国が増えてきている。"	"植民地,しょくみんち"	"植民地とは、自国以外の地域へ移住して、新たな領土として隷属させた地域のことである。簡単に言うと、自国民を移住させるために支配下に置いた地域を意味している。植民地支配の目的は、香料や絹などの特産品や金や石油などの資源を獲得し、自国の経済を豊かにすることである。英語では colony と表現する。植民地支配は、船で外の世界に進出した大航海時代の頃から盛んになり、20世紀後半までアメリカ合衆国やイギリスなどによって盛んに行われてきた。日本は、台湾や満州などを植民地化した。21世紀に入ると植民地支配は次第に減少し、独立する国が増えてきている。"	Guess the Word or Reading	Text
"礼儀作法をわきまえないさま。礼儀を知らない、礼儀作法がなっていないさまなどを意味する表現。"	"不作法,ぶさほう"	"礼儀作法をわきまえないさま。礼儀を知らない、礼儀作法がなっていないさまなどを意味する表現。"	Guess the Word or Reading	Text
"申し出を行う際に提出する書類。申告用の書類。"	"申告書,しんこくしょ"	"申し出を行う際に提出する書類。申告用の書類。"	Guess the Word or Reading	Text
"最も後ろの列。最後の列。"	"最後列,さいこうれつ"	"最も後ろの列。最後の列。"	Guess the Word or Reading	Text
"英語の単語。英語において、語としての意味を持つ独立した最小の構成要素。"	"英単語,えいたんご"	"英語の単語。英語において、語としての意味を持つ独立した最小の構成要素。"	Guess the Word or Reading	Text
"農作物を田畑に植え込むこと。作物の植え付け。"	"作付け,さくづけ"	"農作物を田畑に植え込むこと。作物の植え付け。"	Guess the Word or Reading	Text
"意味が不明であること。発言などについて、その意味するところや意図が明確でない、または理解できないさま。意味がわからないことを表す比較的俗な表現。"	"意味不明,いみふめい"	"意味が不明であること。発言などについて、その意味するところや意図が明確でない、または理解できないさま。意味がわからないことを表す比較的俗な表現。"	Guess the Word or Reading	Text
"値段以上の価値があり、買って得になるようなさま。「買い得」に丁寧の「お」をつけた形。「お得」「おトク」「お値打ち」などとも言う。"	"お買い得,おかいどく"	"値段以上の価値があり、買って得になるようなさま。「買い得」に丁寧の「お」をつけた形。「お得」「おトク」「お値打ち」などとも言う。"	Guess the Word or Reading	Text
"災害や戦火による大規模な火災が起き、一帯が焼け果てて荒土となった所。「焼け野」、「焼け野が原」などとも言う。"	"焼け野原,やけのはら"	"災害や戦火による大規模な火災が起き、一帯が焼け果てて荒土となった所。「焼け野」、「焼け野が原」などとも言う。"	Guess the Word or Reading	Text
"「無理矢理」に同じ。「矢理」は当て字とされる。"	"無理やり,むりやり"	"「無理矢理」に同じ。「矢理」は当て字とされる。"	Guess the Word or Reading	Text
"土地に家屋を建築してから土地と共に販売すること。建売の方式で販売される住宅を「建売住宅」と言う。"	"建て売り,たてうり"	"土地に家屋を建築してから土地と共に販売すること。建売の方式で販売される住宅を「建売住宅」と言う。"	Guess the Word or Reading	Text
"田畑で作物を実際に植えつけている面積のこと。「作付け面積」とも書く。"	"作付面積,さくづけめんせき"	"田畑で作物を実際に植えつけている面積のこと。「作付け面積」とも書く。"	Guess the Word or Reading	Text
"出かけたまま帰ってこず、行き先や居場所がわからない状態。"	"行方不明,ゆくえふめい"	"出かけたまま帰ってこず、行き先や居場所がわからない状態。"	Guess the Word or Reading	Text
"自分の身体に火を放ち焼け死ぬ形で自殺すること。抗議活動の手段として行われることが多い。現代でもチベットでチベット族の僧侶が中国への抗議の意を示す目的で||焼||＊＊＊を行うことがままある。"	"焼身自殺,しょうしんじさつ"	"自分の身体に火を放ち焼け死ぬ形で自殺すること。抗議活動の手段として行われることが多い。現代でもチベットでチベット族の僧侶が中国への抗議の意を示す目的で焼身自殺を行うことがままある。"	Guess the Word or Reading	Text
"野菜や肉などの食料を商品として取り扱う店舗。食品・食材・飲料などを売っている店。"	"食料品店,しょくりょうひんてん"	"野菜や肉などの食料を商品として取り扱う店舗。食品・食材・飲料などを売っている店。"	Guess the Word or Reading	Text
"(1)植物の育たない場所を意味する表現。(2)ある物事に乏しい場所、または何の希望もないような地域などを意味する表現。"	"不毛の地,ふもうのち"	"(1)植物の育たない場所を意味する表現。(2)ある物事に乏しい場所、または何の希望もないような地域などを意味する表現。"	Guess the Word or Reading	Text
"主に野球やソフトボールの試合で、相手打者を一人も出塁させずに抑え、勝利することを意味する表現。「パーフェクトゲーム」とも言う。"	"完全試合,かんぜんじあい"	"主に野球やソフトボールの試合で、相手打者を一人も出塁させずに抑え、勝利することを意味する表現。「パーフェクトゲーム」とも言う。"	Guess the Word or Reading	Text
"||労||＊＊＊とは、労働者が中心となり労働条件の改善や経済的地位の向上を図ることを目的とした団体のことである。ただし、管理職など会社側の立場にある者の参加を許す団体や、福利厚生事業を目的とした団体、政治運動を目的とした団体などは||労||＊＊＊とは認められない。||労||＊＊＊と会社が交渉する場が労働委員会である。労働委員会は、労働者を代表する者（労働者委員）と会社側の代表者（使用者委員）、公益を代表する者（公益委員）によって構成される。関連サイト：||労||＊＊＊法（e-Gov）"	"労働組合,ろうどうくみあい"	"労働組合とは、労働者が中心となり労働条件の改善や経済的地位の向上を図ることを目的とした団体のことである。ただし、管理職など会社側の立場にある者の参加を許す団体や、福利厚生事業を目的とした団体、政治運動を目的とした団体などは労働組合とは認められない。労働組合と会社が交渉する場が労働委員会である。労働委員会は、労働者を代表する者（労働者委員）と会社側の代表者（使用者委員）、公益を代表する者（公益委員）によって構成される。関連サイト：労働組合法（e-Gov）"	Guess the Word or Reading	Text
"||自||＊＊＊とは、自分で行ったことの報いを受けるという意味の四字熟語。||自||＊＊＊の自業は自分の行い、自得は自分が結果を握るという意味をもつ。||自||＊＊＊を英語で表現すると you asked for it となるが、より悪意を込めた表現をすると serves you right となる。"	"自業自得,じごうじとく"	"自業自得とは、自分で行ったことの報いを受けるという意味の四字熟語。自業自得の自業は自分の行い、自得は自分が結果を握るという意味をもつ。自業自得を英語で表現すると you asked for it となるが、より悪意を込めた表現をすると serves you right となる。"	Guess the Word or Reading	Text
"||以||＊＊＊とは、心の内で思っていることが、声に出さなくても互いに理解しあえること。||以||＊＊＊は、「心を以って心に伝える」と読み下す。つまり、うわべだけの行動や言葉で表すのではなく、何も口に出さずとも相手の考えていることが理解でき、そして相手のために行動するという心がけが大切であるという意味を表している。"	"以心伝心,いしんでんしん"	"以心伝心とは、心の内で思っていることが、声に出さなくても互いに理解しあえること。以心伝心は、「心を以って心に伝える」と読み下す。つまり、うわべだけの行動や言葉で表すのではなく、何も口に出さずとも相手の考えていることが理解でき、そして相手のために行動するという心がけが大切であるという意味を表している。"	Guess the Word or Reading	Text
"節（せち）、即ち節日（せちにち）を祝う料理の総称。今日ではもっぱら正月を祝う料理を指す。多くは縁起を担いだ料理を重箱に詰め合わせた料理を指す。"	"おせち料理,おせちりょうり"	"節（せち）、即ち節日（せちにち）を祝う料理の総称。今日ではもっぱら正月を祝う料理を指す。多くは縁起を担いだ料理を重箱に詰め合わせた料理を指す。"	Guess the Word or Reading	Text
"「今まで一度も無かった程に」「今までで最も」といった意味の言い回し。珍しく、例外的に、などの意味でも用いられる。"	"何時に無く,いつになく"	"「今まで一度も無かった程に」「今までで最も」といった意味の言い回し。珍しく、例外的に、などの意味でも用いられる。"	Guess the Word or Reading	Text
"(1)追従すること。ある人を先導にしてその後ろから来ること。(2)付随すること。ある物を入手した際に一緒に、ついでに他の物が手に入ること。"	"付いてくる,ついてくる,付いて来る,ついてくる"	"(1)追従すること。ある人を先導にしてその後ろから来ること。(2)付随すること。ある物を入手した際に一緒に、ついでに他の物が手に入ること。"	Guess the Word or Reading	Text
"不満に思ったり欠点として指摘したりする部分がなく、十分満足する様子。言う事なし。"	"申し分無い,もうしぶんない"	"不満に思ったり欠点として指摘したりする部分がなく、十分満足する様子。言う事なし。"	Guess the Word or Reading	Text
"多くの人が観光に訪れる場所。観光名所。「観光地」などの語に比べると、より限定・特定された地域に対して用いられる場合が多い。"	"観光スポット,かんこうスポット"	"多くの人が観光に訪れる場所。観光名所。「観光地」などの語に比べると、より限定・特定された地域に対して用いられる場合が多い。"	Guess the Word or Reading	Text
"「やむを得ない」は、他にどうすることもできない・仕方がない・しようがない・残念だがあきらめるしかない、といった意味の表現。「やめざるを得ない」ということ。動詞などを修飾して副詞的に用いる場合は「やむを得ず」または「やむなく」と言い換えられる。「やむを得ない」は「止む（已む）＋を＋得ない」という構成の連語表現である。抑揚は「家具の世代」と同様であり、「ヤム負えない」のような抑揚ではない。"	"止むを得ない,やむをえない"	"「やむを得ない」は、他にどうすることもできない・仕方がない・しようがない・残念だがあきらめるしかない、といった意味の表現。「やめざるを得ない」ということ。動詞などを修飾して副詞的に用いる場合は「やむを得ず」または「やむなく」と言い換えられる。「やむを得ない」は「止む（已む）＋を＋得ない」という構成の連語表現である。抑揚は「家具の世代」と同様であり、「ヤム負えない」のような抑揚ではない。"	Guess the Word or Reading	Text
"過去にどのような病気に罹ったかという経歴。既往症の履歴。既往歴。または、ある病気に罹患してからどのくらい経過したかという事柄を指すこともある。"	"病歴,びょうれき"	"過去にどのような病気に罹ったかという経歴。既往症の履歴。既往歴。または、ある病気に罹患してからどのくらい経過したかという事柄を指すこともある。"	Guess the Word or Reading	Text
"主に訴訟事件において、当事者が相争っていることを指す語。「||係||＊中」の表現で用いられることが多い。"	"係争,けいそう"	"主に訴訟事件において、当事者が相争っていることを指す語。「係争中」の表現で用いられることが多い。"	Guess the Word or Reading	Text
"争いごとにおいて当事者の間に入って仲裁することを指す語。"	"調停,ちょうてい"	"争いごとにおいて当事者の間に入って仲裁することを指す語。"	Guess the Word or Reading	Text
"特定の場所や持ち場、あるいはそこに割り当てることなどを意味する表現。"	"配置,はいち"	"特定の場所や持ち場、あるいはそこに割り当てることなどを意味する表現。"	Guess the Word or Reading	Text
"既にあるものをさらに加えることや足りないものを補うこと、あるいは増加したものや付け加えたものなどを意味する表現。"	"追加,ついか"	"既にあるものをさらに加えることや足りないものを補うこと、あるいは増加したものや付け加えたものなどを意味する表現。"	Guess the Word or Reading	Text
"「||事||＊（||じ||＊＊）」とは、具体例として引き合いに出すことのできる実際にあった出来事のことである。基本的には「過去に実際にあった例」という意味で用いられる。「||事||＊」という言葉に何らかの特別な意味ニュアンスが込められることは稀であり、たいていの場合「先例」「実例」あるいは「例」と言い換えても十分に意味が通じる。とはいえ「導入||事||＊」や「改善||事||＊」のように定型的な表現として定着しており、「実例」や「例」などよりは「||事||＊」の方が用いられる機会が多い。「導入||事||＊」は、企業が提供するサービスやソリューションを実際に顧客・利用者として導入し活用している先例、という意味合いである。利用者の感想を紹介し、導入のメリットや容易さをアピールする、といった趣旨で引き合いに出されることが多い。「改善||事||＊」は、ある種の課題や困難に対して実際に図られた改.."	"事例,じれい"	"「事例（じれい）」とは、具体例として引き合いに出すことのできる実際にあった出来事のことである。基本的には「過去に実際にあった例」という意味で用いられる。「事例」という言葉に何らかの特別な意味ニュアンスが込められることは稀であり、たいていの場合「先例」「実例」あるいは「例」と言い換えても十分に意味が通じる。とはいえ「導入事例」や「改善事例」のように定型的な表現として定着しており、「実例」や「例」などよりは「事例」の方が用いられる機会が多い。「導入事例」は、企業が提供するサービスやソリューションを実際に顧客・利用者として導入し活用している先例、という意味合いである。利用者の感想を紹介し、導入のメリットや容易さをアピールする、といった趣旨で引き合いに出されることが多い。「改善事例」は、ある種の課題や困難に対して実際に図られた改善策、改善の取り組みの具体例、という意味合いである。どのような状況においてどのような方法で改善を図り、結果どのように改善が実現されたか、を実例として紹介するものである。「事例」の類義語・例、実例、先例、具体例、具体的ケース、ケース「事例」の熟語・導入事例、改善事例、取組"	Guess the Word or Reading	Text
"情報や郵便物などを、外部に向けて送り出すこと。また、電話やラジオ、電信などを通し、音や電波を発することを指す。自分が持つ考えや意見を、複数の人数に伝えようとするときに「情報を||発||＊する」という形で用いられることがある。意味が似ている言葉として「送信」があり、送信はメールや電気信号などを遠方に送ることを意味する。"	"発信,はっしん"	"情報や郵便物などを、外部に向けて送り出すこと。また、電話やラジオ、電信などを通し、音や電波を発することを指す。自分が持つ考えや意見を、複数の人数に伝えようとするときに「情報を発信する」という形で用いられることがある。意味が似ている言葉として「送信」があり、送信はメールや電気信号などを遠方に送ることを意味する。"	Guess the Word or Reading	Text
